Year,State,Total Salary - Per Pupil Percent Change,Total Benefits - Per Pupil Percent Change,Total Salary,Total Benefits
2017,Kansas,0.06060535654474175,0.49363169385495564,0.06060535654474175,0.49363169385495564
2018,Kansas,0.0830849245648142,0.7194956700277022,0.0830849245648142,0.7194956700277022
2019,Kansas,0.11302270896557465,0.5397408419318013,0.11302270896557465,0.5397408419318013
2020,Kansas,0.1388814025397327,0.922777002229674,0.1388814025397327,0.922777002229674
2003,Kentucky,-6.023395272625187e-5,-0.0031923464717513728,-6.023395272625187e-5,-0.0031923464717513728
2004,Kentucky,0.01799986768088946,0.09232051021497822,0.01799986768088946,0.09232051021497822
2005,Kentucky,0.006948692119052247,0.14322874186562173,0.006948692119052247,0.14322874186562173
2006,Kentucky,0.01663598577191805,0.2908403720413284,0.01663598577191805,0.2908403720413284
2007,Kentucky,0.08485624778375422,0.34632791065413104,0.08485624778375422,0.34632791065413104
2008,Kentucky,0.09291902667874674,0.3709066300425945,0.09291902667874674,0.3709066300425945
2009,Kentucky,0.08130078608301061,0.39221522023637134,0.08130078608301061,0.39221522023637134
2010,Kentucky,0.08001129787901218,0.4597244601623922,0.08001129787901218,0.4597244601623922
2011,Kentucky,0.08761725545790067,0.5091412911063693,0.08761725545790067,0.5091412911063693
2012,Kentucky,0.055982342796011775,0.5054425736189583,0.055982342796011775,0.5054425736189583
2013,Kentucky,0.030820922639531068,0.4952310741300696,0.030820922639531068,0.4952310741300696
2014,Kentucky,0.006764483683000977,0.48198962455123007,0.006764483683000977,0.48198962455123007
2015,Kentucky,0.01090356925566116,0.5893861965462859,0.01090356925566116,0.5893861965462859
2016,Kentucky,0.02824428270843704,0.6384883347677985,0.02824428270843704,0.6384883347677985
2017,Kentucky,0.024391287064082556,0.6766982264449106,0.024391287064082556,0.6766982264449106
2018,Kentucky,0.02148277750496641,1.176852956388906,0.02148277750496641,1.176852956388906
2019,Kentucky,0.01829313767892593,1.1590126295555851,0.01829313767892593,1.1590126295555851
2020,Kentucky,8.28710778022046e-4,1.1957615816539682,8.28710778022046e-4,1.1957615816539682
2003,Louisiana,0.0171350572807758,0.07170466970752942,0.0171350572807758,0.07170466970752942
2004,Louisiana,0.024066574642223726,0.1760260942027092,0.024066574642223726,0.1760260942027092
2005,Louisiana,0.027279425494930454,0.295102741121128,0.027279425494930454,0.295102741121128
2006,Louisiana,0.021989946445972075,0.44821384653528007,0.021989946445972075,0.44821384653528007
2007,Louisiana,0.06436956628121293,0.49238318299965633,0.06436956628121293,0.49238318299965633
2008,Louisiana,0.1651671504711476,0.550219964717849,0.1651671504711476,0.550219964717849
2009,Louisiana,0.22576994036791564,0.5862951958599658,0.22576994036791564,0.5862951958599658
2010,Louisiana,0.21991707459521392,0.658190244208525,0.21991707459521392,0.658190244208525
2011,Louisiana,0.17079950264439514,0.828641844190855,0.17079950264439514,0.828641844190855
2012,Louisiana,0.18064631815798293,1.0362112508373973,0.18064631815798293,1.0362112508373973
2013,Louisiana,0.04887161228056902,0.8626946869117609,0.04887161228056902,0.8626946869117609
2014,Louisiana,0.045368331126591555,0.9428469236408685,0.045368331126591555,0.9428469236408685
2015,Louisiana,0.04743625843952892,1.0260473396102427,0.04743625843952892,1.0260473396102427
2016,Louisiana,0.05060291839604636,1.013216452405318,0.05060291839604636,1.013216452405318
2017,Louisiana,0.037270474767545414,0.9812408638404364,0.037270474767545414,0.9812408638404364
2018,Louisiana,0.03031708253867782,1.0219234574142222,0.03031708253867782,1.0219234574142222
2019,Louisiana,0.028341021565340352,1.005164924728669,0.028341021565340352,1.005164924728669
2020,Louisiana,0.03787648578366021,0.9841531008810773,0.03787648578366021,0.9841531008810773
2003,Maine,0.017107098753520678,0.21077845720511768,0.017107098753520678,0.21077845720511768
2004,Maine,0.08467744926215448,0.05036404013913254,0.08467744926215448,0.05036404013913254
2005,Maine,0.10405852534395055,0.10664002556191887,0.10405852534395055,0.10664002556191887
2006,Maine,0.12031463295209077,0.06641749678673237,0.12031463295209077,0.06641749678673237
2007,Maine,0.1331073843279491,0.21547616062694175,0.1331073843279491,0.21547616062694175
2008,Maine,0.09957615155581712,0.17971758025943574,0.09957615155581712,0.17971758025943574
2009,Maine,0.15549383313596787,0.2551978992471331,0.15549383313596787,0.2551978992471331
