State,Year,NAEP,US NAEP,,,,
Kansas,2015,241,240,,,,
Kentucky,2015,242,240,,,,
Louisiana,2015,234,240,,,,
Maine,2015,242,240,,,,
Maryland,2015,239,240,,,,
Massachusetts,2015,251,240,,,,
Michigan,2015,236,240,,,,
Minnesota,2015,250,240,,,,
Mississippi,2015,234,240,,,,
Missouri,2015,239,240,,,,
Montana,2015,241,240,,,,
Nebraska,2015,244,240,,,,
Nevada,2015,234,240,,,,
New Hampshire,2015,249,240,,,,
New Jersey,2015,245,240,,,,
New Mexico,2015,231,240,,,,
New York,2015,237,240,,,,
North Carolina,2015,244,240,,,,
North Dakota,2015,245,240,,,,
Ohio,2015,244,240,,,,
Oklahoma,2015,240,240,,,,
Oregon,2015,238,240,,,,
Pennsylvania,2015,243,240,,,,
Rhode Island,2015,238,240,,,,
South Carolina,2015,237,240,,,,
South Dakota,2015,240,240,,,,
Tennessee,2015,241,240,,,,
Texas,2015,244,240,,,,
Utah,2015,243,240,,,,
Vermont,2015,243,240,,,,
Virginia,2015,247,240,,,,
Washington,2015,245,240,,,,
West Virginia,2015,235,240,,,,
Wisconsin,2015,243,240,,,,
Wyoming,2015,247,240,,,,
DoDEA,2017,249,240,,,,
United States,2017,240,240,,,,
Alabama,2017,232,240,,,,
Alaska,2017,230,240,,,,
Arizona,2017,234,240,,,,
Arkansas,2017,234,240,,,,
California,2017,232,240,,,,
Colorado,2017,241,240,,,,
Connecticut,2017,239,240,,,,
Delaware,2017,236,240,,,,
District of Columbia,2017,231,240,,,,
Florida,2017,246,240,,,,
Georgia,2017,236,240,,,,
Hawaii,2017,238,240,,,,
Idaho,2017,240,240,,,,
Illinois,2017,238,240,,,,
Indiana,2017,247,240,,,,
Iowa,2017,243,240,,,,
Kansas,2017,241,240,,,,
Kentucky,2017,239,240,,,,
Louisiana,2017,229,240,,,,
Maine,2017,240,240,,,,
Maryland,2017,241,240,,,,
Massachusetts,2017,249,240,,,,
Michigan,2017,236,240,,,,
Minnesota,2017,249,240,,,,
Mississippi,2017,235,240,,,,
Missouri,2017,240,240,,,,
Montana,2017,241,240,,,,
Nebraska,2017,246,240,,,,
Nevada,2017,232,240,,,,
New Hampshire,2017,245,240,,,,
New Jersey,2017,248,240,,,,
New Mexico,2017,230,240,,,,
New York,2017,236,240,,,,
North Carolina,2017,241,240,,,,
North Dakota,2017,244,240,,,,
Ohio,2017,241,240,,,,
Oklahoma,2017,237,240,,,,
Oregon,2017,233,240,,,,
Pennsylvania,2017,242,240,,,,
Rhode Island,2017,238,240,,,,
South Carolina,2017,234,240,,,,
South Dakota,2017,242,240,,,,
Tennessee,2017,237,240,,,,
Texas,2017,241,240,,,,
Utah,2017,242,240,,,,
Vermont,2017,241,240,,,,
Virginia,2017,248,240,,,,
Washington,2017,242,240,,,,
West Virginia,2017,236,240,,,,
Wisconsin,2017,240,240,,,,
Wyoming,2017,248,240,,,,
DoDEA,2019,250,240,,,,
United States,2019,241,241,,,,
Alabama,2019,230,241,,,,
Alaska,2019,232,241,,,,
Arizona,2019,238,241,,,,
Arkansas,2019,233,241,,,,
California,2019,235,241,,,,
Colorado,2019,242,241,,,,
Connecticut,2019,243,241,,,,
Delaware,2019,239,241,,,,
District of Columbia,2019,235,241,,,,
Florida,2019,246,241,,,,
Georgia,2019,238,241,,,,
Hawaii,2019,239,241,,,,
Idaho,2019,242,241,,,,
Illinois,2019,237,241,,,,
Indiana,2019,245,241,,,,
Iowa,2019,241,241,,,,
